Software,RP Name,Software's Web Page,Software Documentation,Tutorials
gcc-10.2.0-gcc-9.3.0-prm4se2,KyRIC,https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/,"https://gcc.gnu.org/onlinedocs/gcc-10.2.0/gcc/index.html , https://gcc-newbies-guide.readthedocs.io/en/latest/ , https://code.visualstudio.com/docs/cpp/config-linux "
GCCcore,"ACES, Rockfish",,,
gcccuda,ACES,,,
gdal,"ACES, Rockfish",https://gdal.org/,https://gdal.org/user/index.html,"https://gdal.org/tutorials/index.html , https://pcjericks.github.io/py-gdalogr-cookbook/ "
gdb,Anvil,https://www.sourceware.org/gdb/,https://sourceware.org/gdb/current/onlinedocs/gdb.html/,"https://sourceware.org/gdb/current/onlinedocs/gdb.html/Sample-Session.html#Sample-Session , https://sourceware.org/gdb/wiki/ "
gdbm-1.18.1-gcc-9.3.0-33qtrum,KyRIC,https://www.gnu.org.ua/software/gdbm/,https://www.gnu.org.ua/software/gdbm/manual/index.html,https://www.gnu.org.ua/software/gdbm/manual/Intro.html
Gdk-Pixbuf,ACES,https://gitlab.gnome.org/GNOME/gdk-pixbuf,https://docs.gtk.org/gdk-pixbuf/,https://docs.gtk.org/gdk-pixbuf/class.Pixbuf.html
GDRCopy,ACES,https://developer.nvidia.com/gdrcopy,https://github.com/NVIDIA/gdrcopy,https://github.com/NVIDIA/gdrcopy?tab=readme-ov-file#tests
GeneMark-ES,Bridges-2,http://exon.gatech.edu/GeneMark/,https://github.com/gatech-genemark/GeneMark-E-Docs/tree/main/docs,"https://github.com/gatech-genemark/GeneMark-E-Docs/blob/main/docs/usage/general.md , https://github.com/gatech-genemark/GeneMark-E-Docs/tree/main/docs/examples "
gengetopt,Rockfish,https://www.gnu.org/software/gengetopt/,https://www.gnu.org/software/gengetopt/gengetopt.html,"https://www.gnu.org/software/gengetopt/gengetopt.html#Basic-Usage , https://github.com/simonrw/gengetopt-example-project/tree/master , https://bikulov.org/blog/2013/10/26/command-line-arguments-in-c-and-c-with-gengetopt/ "
GeNT,Bridges-2,https://www.psc.edu/resources/software/gent/,https://www.psc.edu/resources/software/gent/,
geos,"OOKAMI, ACES, Rockfish",https://libgeos.org/,https://libgeos.org/doxygen/,"https://libgeos.org/usage/c_api/ , https://libgeos.org/usage/cpp_api/ , https://github.com/libgeos/geos/tree/main/examples "
geos-chem,Rockfish,https://geoschem.github.io/index.html,https://geos-chem.readthedocs.io/en/stable/,"https://geos-chem.readthedocs.io/en/stable/getting-started/quick-start.html , https://geos-chem.readthedocs.io/en/stable/supplemental-guides/run-script-examples.html "
gethost,OOKAMI,https://operations-api.access-ci.org/wh2/resource/v4/resource/id/urn:ogf.org:glue2:access-ci.org:ApplicationHandle:module:1.0.gethost.ookami.sbu.access-ci.org.61e4e15f41798c706e33db5864ecffdf/?format=html,,
gettext,"ACES, Rockfish",https://www.gnu.org/software/gettext/,https://www.gnu.org/software/gettext/manual/,https://www.labri.fr/perso/fleury/posts/programming/a-quick-gettext-tutorial.html
gettext-0.21-gcc-9.3.0-x4s52y3,KyRIC,,,
gfbf,ACES,,,
gh,Expanse,https://docs.github.com/en/github-cli,https://cli.github.com/manual/gh,https://docs.github.com/en/github-cli/github-cli/quickstart
Ghostscript,ACES,https://www.ghostscript.com/,https://ghostscript.readthedocs.io/en/latest/index.html,"https://ghostscript.readthedocs.io/en/latest/Use.html , https://ghostscript.readthedocs.io/en/latest/Source.html "
giflib,ACES,https://giflib.sourceforge.net/,https://giflib.sourceforge.net/gif_lib.html,https://giflib.sourceforge.net/whatsinagif/index.html
Git,"Expanse, OOKAMI, Stampede-2, ACES, Delta, Bridges-2, Rockfish",https://git-scm.com/,https://git-scm.com/doc,"https://git-scm.com/docs/gittutorial , https://www.youtube.com/watch?v=HVsySz-h9r4 , https://www.atlassian.com/git/tutorials"
git-2.29.0-gcc-9.3.0-3xgg4ng,KyRIC,https://git-scm.com/,https://git-scm.com/doc,"https://git-scm.com/docs/gittutorial , https://www.youtube.com/watch?v=HVsySz-h9r4 , https://www.atlassian.com/git/tutorials"
git-annex,Rockfish,https://git-annex.branchable.com/,https://git-annex.branchable.com/git-annex/,https://git-annex.branchable.com/walkthrough/
git-lfs,"Expanse, ACES, Rockfish",https://git-lfs.com/,https://github.com/git-lfs/git-lfs/tree/main/docs,"https://github.com/git-lfs/git-lfs/wiki/Tutorial , https://github.com/git-lfs/git-lfs/wiki"
GL2PS,ACES,https://www.geuz.org/gl2ps/,https://www.geuz.org/gl2ps/#tth_sEc2,"https://www.geuz.org/gl2ps/#tth_sEc3 , https://www.geuz.org/gl2ps/#tth_sEc4 , https://github.com/Open-Cascade-SAS/gl2ps/blob/occt-emf/gl2psTest.c "
GLFW,ACES,https://www.glfw.org/,https://www.glfw.org/docs/latest/,"https://www.glfw.org/docs/latest/quick.html , https://www.glfw.org/docs/latest/intro_guide.html "
glib,"ACES, Rockfish",https://gitlab.gnome.org/GNOME/glib/,https://docs.gtk.org/glib/,"https://docs.gtk.org/glib/programming.html , https://docs.gtk.org/glib/types.html "
GLM,ACES,https://glm.g-truc.net/0.9.9/,https://glm.g-truc.net/0.9.9/api/modules.html,"https://github.com/g-truc/glm/blob/0.9.9.2/doc/manual.pdf , https://www.youtube.com/watch?v=F0vUESYIrno , https://web.engr.oregonstate.edu/~mjb/cs491/Handouts/GLM.1pp.pdf "
glpk,"ACES, Rockfish, Rockfish",https://www.gnu.org/software/glpk/,http://most.ccib.rutgers.edu/glpk.pdf,"https://martin-thoma.com/how-to-use-glpk/ , https://en.wikibooks.org/wiki/GLPK/Using_the_GLPK_callable_library "
gmp,"OOKAMI, Anvil, ACES, Rockfish",https://gmplib.org/,https://gmplib.org/manual/,"https://gmplib.org/manual/GMP-Basics , https://gmplib.org/pi-with-gmp "
gmp-6.1.2-gcc-9.3.0-hpbiokz,KyRIC,,,
gmt,Stampede-2,https://www.generic-mapping-tools.org/,https://docs.generic-mapping-tools.org/latest/,"https://docs.generic-mapping-tools.org/latest/tutorial.html , https://www.generic-mapping-tools.org/workshops/#past-workshops "
GNU Parallel,Bridges-2,https://www.gnu.org/software/parallel/,https://www.gnu.org/software/parallel/sphinx.html,"https://www.gnu.org/software/parallel/parallel_tutorial.html , https://www.gnu.org/software/parallel/parallel_examples.html , https://www.gnu.org/software/parallel/parallel_cheat.pdf , https://zenodo.org/records/1146014 "
gnu-parallel,OOKAMI,,,
gnu9,KyRIC,,,
gnuparallel,Stampede-2,,,
gnuplot,"OOKAMI, ACES, Rockfish",https://gnuplot.sourceforge.net/,http://gnuplot.info/docs_5.5/Overview.html,"https://gnuplot.sourceforge.net/screenshots/index.html#demos , https://gnuplot.sourceforge.net/help.html "
gnutls,Rockfish,https://www.gnutls.org/,https://www.gnutls.org/manual/html_node/index.html,https://gitlab.com/gnutls/gnutls/-/tree/master/doc/examples?ref_type=heads
go,"OOKAMI, ACES, Rockfish",https://go.dev/,https://go.dev/doc/,"https://go.dev/doc/tutorial/getting-started , https://go.dev/doc/tutorial/create-module , https://go.dev/doc/tutorial/workspaces "
go-1.16-gcc-9.3.0-ajolq4h,KyRIC,,,
go-bootstrap-1.4-bootstrap-20171003-gcc-9.3.0-wjszkk6,KyRIC,,,
GObject-Introspection,ACES,https://gitlab.gnome.org/GNOME/gobject-introspection/,https://gi.readthedocs.io/en/latest/,https://gitlab.gnome.org/GNOME/gobject-introspection/-/tree/main/examples
gompi,ACES,https://docs.easybuild.io/api/easybuild/toolchains/gompi/,,
gompic,ACES,https://docs.easybuild.io/api/easybuild/toolchains/gompic/,,
googletest,ACES,https://github.com/google/googletest,https://google.github.io/googletest/,https://google.github.io/googletest/primer.html
gpaw,"Stampede-2, Anvil",https://gitlab.com/gpaw/gpaw,https://wiki.fysik.dtu.dk/gpaw/documentation/documentation.html,"https://wiki.fysik.dtu.dk/gpaw/tutorialsexercises/tutorialsexercises.html , https://wiki.fysik.dtu.dk/gpaw/documentation/basic.html "
gperf,"OOKAMI, ACES, Rockfish",https://www.gnu.org/software/gperf/,https://www.gnu.org/software/gperf/manual/gperf.html,"https://developer.ibm.com/tutorials/l-gperf/ , https://www.math.utah.edu/docs/info/gperf_5.html "
gperftools,"OOKAMI, ACES",https://github.com/gperftools/gperftools,https://github.com/gperftools/gperftools/wiki#documentation,"https://github.com/gperftools/gperftools/wiki#example , https://developer.ridgerun.com/wiki/index.php/Profiling_with_GPerfTools "
gpustat,"ACES, Rockfish",https://github.com/wookayin/gpustat,https://github.com/wookayin/gpustat#usage,https://github.com/wookayin/gpustat#tips
Graphene,ACES,https://ebassi.github.io/graphene/,https://ebassi.github.io/graphene/docs/,https://github.com/ebassi/graphene/wiki/Using-Graphene-from-Python
GraphicsMagick,ACES,http://www.graphicsmagick.org/,http://www.graphicsmagick.org/GraphicsMagick.html,"http://www.graphicsmagick.org/programming.html , https://www.tutorialspoint.com/graphicsmagick-a-powerful-image-processing-cli-tool-for-linux , https://www.tecmint.com/graphicsmagick-image-processing-cli-tool-for-linux/ "
graphite2,ACES,https://graphite.sil.org/,https://graphite.sil.org/assets/resources/GDL.pdf,https://graphite.sil.org/graide_tutorial
Greenlet,ACES,https://github.com/python-greenlet/greenlet,https://greenlet.readthedocs.io/en/latest/,"https://greenlet.readthedocs.io/en/latest/greenlet.html , https://greenlet.readthedocs.io/en/latest/gui_example.html#gui-example"
groff,ACES,https://www.gnu.org/software/groff/,https://www.gnu.org/software/groff/manual/groff.html.node/index.html,"https://www.gnu.org/software/groff/manual/groff.html.node/Introduction.html , https://www.gnu.org/software/groff/manual/groff.html.node/Basics.html , https://www.systutorials.com/docs/linux/man/7-groff/"
GROMACS,"OOKAMI, Stampede-2, DARWIN, ACES, Delta, Bridges-2, Rockfish",https://www.gromacs.org/,https://manual.gromacs.org/current/index.html,"https://tutorials.gromacs.org/ , https://www.gromacs.org/workshop.html , https://www.gromacs.org/tutorial_webinar.html "
gromacs-2021.4-gcc-9.3.0-odn2sfc,KyRIC,,,
gsl,"Stampede-2, Anvil, ACES, Rockfish",https://www.gnu.org/software/gsl/,https://www.gnu.org/software/gsl/doc/html/index.html,"https://www.gnu.org/software/gsl/doc/html/usage.html , https://www.gnu.org/software/gsl/doc/html/err.html#examples , https://www.gnu.org/software/gsl/doc/html/linalg.html#examples "
GST-plugins-bad,ACES,https://gstreamer.freedesktop.org/modules/gst-plugins-bad.html,https://gitlab.freedesktop.org/gstreamer/gstreamer/-/tree/main/subprojects/gst-plugins-bad/docs,"https://gstreamer.freedesktop.org/documentation/tutorials/basic/index.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/table-of-concepts.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/index.html?gi-language=c "
GST-plugins-base,ACES,https://gstreamer.freedesktop.org/modules/gst-plugins-base.html,https://gitlab.freedesktop.org/gstreamer/gstreamer/-/tree/main/subprojects/gst-plugins-base/docs,"https://gstreamer.freedesktop.org/documentation/tutorials/basic/index.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/table-of-concepts.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/index.html?gi-language=c "
GStreamer,ACES,https://gstreamer.freedesktop.org/,https://gstreamer.freedesktop.org/documentation/,"https://gstreamer.freedesktop.org/documentation/tutorials/basic/index.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/table-of-concepts.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/index.html?gi-language=c "
GTK2,ACES,https://www.gtk.org/,https://developer-old.gnome.org/gtk2/stable/index.html,"https://www.gtk.org/docs/getting-started/hello-world/ , https://www.gtk.org/docs/getting-started/ , https://www.gtk.org/docs/language-bindings/python/ "
GTK3,ACES,https://www.gtk.org/,https://docs.gtk.org/gtk3/,"https://www.gtk.org/docs/getting-started/hello-world/ , https://www.gtk.org/docs/getting-started/ , https://www.gtk.org/docs/language-bindings/python/ "
GTK4,ACES,https://www.gtk.org/,https://docs.gtk.org/gtk4/,"https://www.gtk.org/docs/getting-started/hello-world/ , https://www.gtk.org/docs/getting-started/ , https://www.gtk.org/docs/language-bindings/python/ "
gts,Rockfish,https://gts.sourceforge.net/,https://gts.sourceforge.net/reference/book1.html,"https://github.com/lsaavedr/gts/tree/master/examples , https://gts.sourceforge.net/samples.html "
gulp,Stampede-2,https://gulp.curtin.edu.au/,https://gulp.curtin.edu.au/help/help_60_txt.html,"https://gulp.curtin.edu.au/help/running.html , https://gulp.curtin.edu.au/help/examples.html"
Guppy,Bridges-2,https://community.nanoporetech.com/docs/prepare/library_prep_protocols/Guppy-protocol/v/gpb_2003_v1_revax_14dec2018/guppy-software-overview,https://community.nanoporetech.com/docs/prepare/library_prep_protocols/Guppy-protocol/v/gpb_2003_v1_revax_14dec2018/expert-settings,https://community.nanoporetech.com/docs/prepare/library_prep_protocols/Guppy-protocol/v/gpb_2003_v1_revax_14dec2018/setting-up-a-run-configurations-and-parameters
gurobi,"DARWIN, Bridges-2, Rockfish",https://www.gurobi.com/,https://www.gurobi.com/documentation/,"https://www.gurobi.com/documentation/current/examples/index.html , https://support.gurobi.com/hc/en-us/articles/13444017491857-How-do-I-use-the-Gurobi-Command-Line-Interface-gurobi-cl , https://support.gurobi.com/hc/en-us/articles/14165975461393-Tutorials-Getting-Started-with-the-Gurobi-APIs "
gzip,ACES,https://www.gnu.org/software/gzip/,https://www.gnu.org/software/gzip/manual/gzip.html,"https://www.gnu.org/software/gzip/manual/gzip.html#Sample , https://www.gnu.org/software/gzip/manual/gzip.html#Invoking-gzip , https://www.youtube.com/watch?v=NLtt4S9ErIA"
h5py,ACES,https://www.h5py.org/,https://docs.h5py.org/en/stable/,"https://docs.h5py.org/en/stable/quick.html#core-concepts , https://docs.h5py.org/en/stable/high/file.html#opening-creating-files"
hadoop,Anvil,https://hadoop.apache.org/,https://hadoop.apache.org/docs/current/,"https://hadoop.apache.org/docs/current/hadoop-project-dist/hadoop-common/UnixShellGuide.html , https://hadoop.apache.org/docs/current/hadoop-project-dist/hadoop-hdfs/HdfsUserGuide.html ,  https://www.tutorialspoint.com/hadoop/index.htm"
harfbuzz,"ACES, Rockfish",https://github.com/harfbuzz/harfbuzz,https://harfbuzz.github.io/,"https://harfbuzz.github.io/getting-started.html , https://harfbuzz.github.io/a-simple-shaping-example.html"
hashdeep,Bridges-2,https://github.com/jessek/hashdeep,https://md5deep.sourceforge.net/hashdeep.html,"https://md5deep.sourceforge.net/start-hashdeep.html , https://github.com/jessek/hashdeep/blob/master/doc/start-hashdeep.html "
hdf,"Anvil, ACES",https://portal.hdfgroup.org/hdf4/,https://portal.hdfgroup.org/documentation/hdf4-docs/HDF4_Reference_Manual.pdf,https://portal.hdfgroup.org/documentation/hdf4-docs/HDF4_Users_Guide.pdf
HDF5,"OOKAMI, Stampede-2, Anvil, ACES, Delta, Bridges-2, Rockfish",https://www.hdfgroup.org/solutions/hdf5/,https://docs.hdfgroup.org/hdf5/develop/,"https://docs.hdfgroup.org/hdf5/develop/_getting_started.html , https://docs.hdfgroup.org/hdf5/develop/_u_g.html "
heasoft,Rockfish,https://heasarc.gsfc.nasa.gov/lheasoft/,https://heasarc.gsfc.nasa.gov/lheasoft/developers_guide/,https://heasarc.gsfc.nasa.gov/lheasoft/developers_guide/node2.html
help2man,ACES,https://www.gnu.org/software/help2man/,https://www.gnu.org/software/help2man/,https://www.gnu.org/software/help2man/help2man.html#Example
helpers,Rockfish,https://github.com/helpers/handlebars-helpers,https://github.com/helpers/handlebars-helpers#documentation,https://github.com/helpers/handlebars-helpers#usage
hh-suite,"ACES, Rockfish",https://github.com/soedinglab/hh-suite,https://github.com/soedinglab/hh-suite/wiki#summary-of-command-line-parameters,https://github.com/soedinglab/hh-suite/wiki#brief-tutorial-to-hhsuite-tools
Highway,ACES,https://github.com/google/highway,https://google.github.io/highway/en/master/,"https://google.github.io/highway/en/master/README.html#examples , https://google.github.io/highway/en/master/README.html#quick-start "
hiredis,ACES,https://redis.io/lp/hiredis/,https://github.com/redis/hiredis,"https://github.com/redis/hiredis/blob/master/examples/example.c , https://github.com/redis/hiredis/tree/master/examples"
HISAT2,Bridges-2,https://daehwankimlab.github.io/hisat2/,https://daehwankimlab.github.io/hisat2/manual/,"https://daehwankimlab.github.io/hisat2/howto/ . https://daehwankimlab.github.io/hisat2/manual/#getting-started-with-hisat2 , https://training.galaxyproject.org/training-material/topics/transcriptomics/tutorials/rna-seq-reads-to-counts/tutorial.html"
hmmer,"ACES, Bridges-2, Rockfish",http://hmmer.org/,http://hmmer.org/documentation.html,"http://eddylab.org/software/hmmer/Userguide.pdf , https://github.com/EddyRivasLab/hmmer/blob/master/documentation/userguide/tutorial.tex "
Homer,Bridges-2,http://homer.ucsd.edu/homer/,http://homer.ucsd.edu/homer/introduction/programs.html,"http://homer.ucsd.edu/homer/basicTutorial/index.html , http://homer.ucsd.edu/homer/motif/index.html "
hoomd,Stampede-2,https://glotzerlab.engin.umich.edu/hoomd-blue/,https://hoomd-blue.readthedocs.io/en/stable/,https://hoomd-blue.readthedocs.io/en/latest/tutorial/00-Introducing-HOOMD-blue/00-index.html
Horovod,ACES,https://horovod.ai/,https://horovod.readthedocs.io/en/stable/,"https://horovod.ai/getting-started/ , https://horovod.readthedocs.io/en/stable/summary_include.html#usage , https://horovod.readthedocs.io/en/stable/summary_include.html#guides "
HPC Toolkit,Jetstream2,http://hpctoolkit.org/,http://hpctoolkit.org/documentation.html,"http://hpctoolkit.org/manual/HPCToolkit-users-manual.pdf , http://hpctoolkit.org/training.html "
HPCC,DARWIN,https://github.com/hpcc-systems/HPCC-Platform,https://hpcc-systems.github.io/HPCC-Platform/devdoc/README.html,"https://hpcc-systems.github.io/HPCC-Platform/devdoc/userdoc/README.html , https://hpccsystems.atlassian.net/wiki/spaces/hpcc/overview ,  https://hpccsystems.atlassian.net/wiki/spaces/hpcc/pages/23574964/Get+Started+Using+the+HPCC+Systems+Cloud+Native+Platform"
hpctoolkit,"Stampede-2, Anvil",,,
HPN-SSH,Bridges-2,https://www.psc.edu/hpn-ssh-home/,https://github.com/rapier1/hpn-ssh#documentation,https://www.psc.edu/hpn-ssh-home/hpn-readme/
hspice,Anvil,https://www.synopsys.com/content/dam/synopsys/verification/datasheets/hspice-ds.pdf,https://inst.eecs.berkeley.edu/~ee140/sp12/labs/hspice_cmdref.pdf,"https://www.synopsys.com/implementation-and-signoff/ams-simulation/primesim-hspice/primesim-hspice-tips-tricks.html , https://inst.eecs.berkeley.edu/~ee105/sp10/tutorials/HSPICE_Tutorial.pdf , https://cseweb.ucsd.edu/classes/wi10/cse241a/assign/hspice_sa.pdf "
htop,"OOKAMI, Stampede-2, Delta",https://htop.dev/,https://linux.die.net/man/1/htop,"https://www.tecmint.com/htop-linux-process-monitoring/ , https://www.geeksforgeeks.org/using-htop-to-monitor-system-processes-on-linux/ "
htslib,"ACES, Bridges-2, Rockfish, Rockfish",https://www.htslib.org/,https://www.htslib.org/doc/,"https://github.com/samtools/htslib/blob/develop/htslib/hts.h , https://www.htslib.org/howtos/headers.html "
hwloc,"OOKAMI, Anvil, KyRIC, ACES, Rockfish",https://www.open-mpi.org/projects/hwloc/,https://www.open-mpi.org/projects/hwloc/doc/v2.10.0/,https://www.open-mpi.org/projects/hwloc/tutorials/
hwloc-2.4.1-gcc-9.3.0-6l4b2ui,KyRIC,,,
Hyperopt,ACES,https://github.com/hyperopt/hyperopt,https://hyperopt.github.io/hyperopt/,"https://hyperopt.github.io/hyperopt/tutorials/01.BasicTutorial/ , https://github.com/hyperopt/hyperopt/wiki/FMin "
hypothesis,ACES,https://github.com/HypothesisWorks/hypothesis,https://hypothesis.readthedocs.io/en/latest/,"https://hypothesis.works/articles/getting-started-with-hypothesis/ , https://hypothesis.works/articles/incremental-property-based-testing/ , https://hypothesis.readthedocs.io/en/latest/quickstart.html#where-to-start , https://hypothesis.readthedocs.io/en/latest/examples.html "
hypre,"Stampede-2, ACES, Rockfish",https://github.com/hypre-space/hypre,https://hypre.readthedocs.io/en/latest/,"https://hypre.readthedocs.io/en/latest/ch-intro.html#getting-more-information , https://github.com/hypre-space/hypre/tree/master/src/examples , https://github.com/hypre-space/hypre/wiki/Coding-Style "
ibrun,Rockfish,https://github.com/cazes/ibrun,https://github.com/cazes/ibrun/blob/master/ibrun,https://docs.tacc.utexas.edu/hpc/stampede3/#launching-mpi
iCommands,Bridges-2,https://github.com/irods/irods_client_icommands,https://docs.irods.org/master/icommands/user/,"https://cyverse.atlassian.net/wiki/spaces/DS/pages/241869855/Using+iCommands , https://learning.cyverse.org/ds/icommands/ , https://cyverse.atlassian.net/wiki/spaces/DS/pages/241869823/Setting+Up+iCommands"
ICU,ACES,https://icu.unicode.org/,https://unicode-org.github.io/icu/,"https://unicode-org.github.io/icu/userguide/icu/howtouseicu.html , https://icu4c-demos.unicode.org/icu-bin/icudemos"
icu4c-67.1-gcc-9.3.0-rxzi3va,KyRIC,,,
idev,Stampede-2,https://tacc.utexas.edu/research/tacc-research/idev/,https://docs.tacc.utexas.edu/software/idev/,https://docs.tacc.utexas.edu/software/idev/#examples
idl,Stampede-2,https://www.nv5geospatialsoftware.com/Products/IDL,https://www.nv5geospatialsoftware.com/docs/using_idl_home.html,"https://www.nv5geospatialsoftware.com/docs/Command_Line_Options_for.html , https://www.nv5geospatialsoftware.com/Learn/Videos/Video-Detail/PID/10263/mcat/18999/acat/2/evl/0/nsw/a/EDNSearch/idl"
igv,Rockfish,https://igv.org/,https://igv.org/doc/desktop/#UserGuide/advanced/command_line/,"https://www.youtube.com/channel/UCb5W5WqauDOwubZHb-IA_rA , https://igv.org/doc/desktop/#QuickStart/#2-load-a-reference-genome "
iimpi,ACES,,,
imageio,ACES,https://github.com/imageio/imageio,https://imageio.readthedocs.io/en/stable/,https://imageio.readthedocs.io/en/stable/examples.html
ImageJ,ACES,https://imagej.net/,https://imagej.net/ij/docs/guide/,"https://imagej.net/tutorials/ , https://imagej.net/imaging/ "
ImageMagick,"OOKAMI, ACES, Delta, Rockfish",https://imagemagick.org/index.php,https://imagemagick.org/script/command-line-tools.php,https://imagemagick.org/Usage/
Imath,ACES,https://github.com/AcademySoftwareFoundation/Imath,https://imath.readthedocs.io/en/latest/,https://imath.readthedocs.io/en/latest/concepts.html
imb,KyRIC,,,
imbalanced-learn,ACES,https://imbalanced-learn.org/stable/,https://imbalanced-learn.org/stable/references/index.html#api,"https://imbalanced-learn.org/stable/user_guide.html#user-guide , https://imbalanced-learn.org/stable/install.html#getting-started , https://imbalanced-learn.org/stable/auto_examples/index.html#general-examples "
imkl,ACES,https://www.intel.com/content/www/us/en/developer/tools/oneapi/onemkl.html,https://www.intel.com/content/www/us/en/docs/onemkl/developer-reference-c/2024-1/overview.html,"https://github.com/oneapi-src/oneAPI-samples/tree/master/Libraries/oneMKL/matrix_mul_mkl , https://github.com/oneapi-src/oneAPI-samples/tree/master/Libraries/oneMKL/block_cholesky_decomposition , https://www.intel.com/content/www/us/en/docs/onemkl/get-started-guide/2024-1/overview.html#GUID-618F67AE-A641-4F48-80E6-AD6D9E70FA2F "
imkl-FFTW,ACES,,,
Imlib2,Rockfish,https://docs.enlightenment.org/api/imlib2/html/index.html,https://docs.enlightenment.org/api/imlib2/html/imlib2_8c.html,https://docs.enlightenment.org/api/imlib2/html/index.html#first_ex
impi,"Stampede-2, ACES",https://www.intel.com/content/www/us/en/developer/tools/oneapi/mpi-library.html#gs.5295ue,https://www.intel.com/content/www/us/en/docs/mpi-library/developer-reference-linux/2021-12/overview.html,https://www.intel.com/content/www/us/en/docs/mpi-library/get-started-guide-linux/2021-11/overview.html
Infernal,Bridges-2,http://eddylab.org/infernal/,http://eddylab.org/infernal/Userguide.pdf,https://github.com/EddyRivasLab/infernal/blob/master/documentation/userguide/tutorial.tex
init_opencl,KyRIC,,,
inspector,KyRIC,https://www.intel.com/content/www/us/en/developer/tools/oneapi/inspector.html#gs.52c03e,https://www.intel.com/content/www/us/en/docs/inspector/user-guide-linux/2024-1/overview.html,"https://www.intel.com/content/www/us/en/docs/inspector/get-started-guide/2024-1/linux.html , https://www.intel.com/content/www/us/en/developer/articles/training/inspector-tutorials.html "
intel,"Expanse, OOKAMI, Stampede-2, KyRIC, ACES, Rockfish",https://www.intel.com/content/www/us/en/developer/overview.html#gs.52c0pp,https://www.intel.com/content/www/us/en/developer/overview.html#gs.52c0pp,"https://www.intel.com/content/www/us/en/developer/tools/oneapi/training/overview.html,https://software.intel.com/content/www/us/en/develop/webinars.html"
Intel OneAPI,Jetstream2,https://www.intel.com/content/www/us/en/developer/tools/oneapi/commercial-base-hpc.html,,
Intel_AI_toolkit,Delta,,,
intel_ipp_ia32,KyRIC,,,
intel_ipp_intel64,KyRIC,,,
intel_ippcp_ia32,KyRIC,,,
intel_ippcp_intel64,KyRIC,,,
intel-compilers,ACES,,,
intel-mkl,"Anvil, Rockfish",,,
intel-oneapi-advisor,Delta,,,
intel-oneapi-compilers,Delta,,,
intel-oneapi-mkl,"Anvil, Delta",,,
intel-oneapi-tbb,Anvil,,,
intltool,ACES,https://freedesktop.org/wiki/Software/intltool/,https://code.launchpad.net/intltool,"https://github.com/Distrotech/intltool/blob/master/README , https://github.com/Distrotech/intltool/blob/master/doc/I18N-HOWTO "
ipmitool,OOKAMI,https://github.com/ipmitool/ipmitool,https://www.mankier.com/1/ipmitool,https://www.mankier.com/1/ipmitool#Examples
IPython,ACES,https://ipython.org/,https://ipython.readthedocs.io/en/stable/,https://ipython.readthedocs.io/en/stable/interactive/tutorial.html
irods,Stampede-2,https://irods.org/,https://docs.irods.org/4.3.1/,"https://github.com/irods/irods_training/blob/main/beginner/irods_beginner_training_2023.pdf , https://slides.com/irods , https://docs.irods.org/4.3.1/developers/library_examples/ "
ISA-L,ACES,https://www.intel.com/content/www/us/en/developer/tools/isa-l/overview.html,https://github.com/intel/isa-l/blob/master/doc/functions.md,"https://www.intel.com/content/www/us/en/developer/videos/intelligent-storage-acceleration-library.html , https://github.com/intel/isa-l/tree/master/examples "
itac,"Stampede-2, KyRIC",https://www.intel.com/content/www/us/en/developer/tools/oneapi/trace-analyzer.html,https://www.intel.com/content/www/us/en/docs/trace-analyzer-collector/user-guide-reference/2021-10/overview.html,"https://www.intel.com/content/www/us/en/docs/trace-analyzer-collector/get-started-guide/2021-10/overview.html , https://www.intel.com/content/www/us/en/docs/vtune-profiler/tutorial-vtune-itac-mpi-openmp/2020/overview.html , https://www.intel.com/content/www/us/en/docs/trace-analyzer-collector/tutorial-correctness-checking/9-1-update-2/overview-001.html "
ITK,ACES,https://itk.org/,https://docs.itk.org/en/latest/,"https://examples.itk.org// , https://github.com/InsightSoftwareConsortium/ScientificImageAnalysisVisualizationAndArtificialIntelligenceCourse , https://itk.org/ItkSoftwareGuide.pdf "
jags,Rockfish,https://mcmc-jags.sourceforge.io/,https://cran.r-project.org/web/packages/rjags/rjags.pdf,https://www.sas.rochester.edu/psc/thestarlab/help/JAGS.pdf
jarvis-tools,Rockfish,https://pages.nist.gov/jarvis/,https://pages.nist.gov/jarvis/#doc,https://pages.nist.gov/jarvis/tutorials/
jasmine,Rockfish,https://jasmine.github.io/,https://jasmine.github.io/pages/docs_home.html,"https://jasmine.github.io/tutorials/your_first_suite , https://jasmine.github.io/tutorials/async "
jasper,"ACES, Rockfish",https://www.ece.uvic.ca/~frodo/jasper/,https://jasper-software.github.io/jasper-manual/latest/html/index.html,"https://jasper-software.github.io/jasper-manual/latest/html/lib.html#lib_intro , https://jasper-software.github.io/jasper-manual/latest/html/lib_init.html#init_setup_example_1 , https://jasper-software.github.io/jasper-manual/latest/html/apps.html#app_intro "
