Software,RP Name,Software's Web Page,Software Documentation,Tutorials
petsc,Bridges-2,https://petsc.org/release/ ,https://petsc.org/release/manual/,"https://petsc.org/release/manual/getting_started/ , https://petsc.org/release/tutorials/ , https://petsc.org/release/manual/getting_started/#simple-petsc-examples , https://petsc.org/release/manual/tests/#quick-start-with-the-tests"
petsc4py,Stampede-2,https://petsc4py.readthedocs.io/en/stable/,https://petsc4py.readthedocs.io/en/stable/manual/,"https://petsc4py.readthedocs.io/en/stable/guides/guide_to_examples/,https://petsc4py.readthedocs.io/en/stable/developers/,https://www.mcs.anl.gov/petsc/documentation/tutorials/,https://petsc.org/release/install/"
PGI,Bridges-2,https://developer.nvidia.com/legacy-pgi-support,https://docs.nvidia.com/hpc-sdk/pgi-compilers/20.4/x86/index.htm,"https://docs.nvidia.com/hpc-sdk/pgi-compilers/20.4/x86/pgi-user-guide/index.htm , https://docs.nvidia.com/hpc-sdk/pgi-compilers/20.4/x86/pgi-user-guide/index.htm#gs-pgi , https://docs.nvidia.com/hpc-sdk/pgi-compilers/20.4/x86/pgi-user-guide/index.htm#intr-lang-examples "
phdf5,ACES,https://support.hdfgroup.org/HDF5/PHDF5/,https://docs.hdfgroup.org/hdf5/develop/_intro_par_h_d_f5.html,"https://support.hdfgroup.org/HDF5/PHDF5/ , https://support.hdfgroup.org/HDF5/doc/Advanced/PHDF5FileConsistencySemantics/PHDF5FileConsistencySemantics.pdf "
PHYLIP,"Bridges-2, Rockfish",https://phylipweb.github.io/phylip/,https://phylipweb.github.io/phylip/phylip.html,https://phylipweb.github.io/phylip/tuimala3.pdf
physics-tenpy,Expanse,https://github.com/tenpy/tenpy,https://tenpy.readthedocs.io/en/latest/,"https://tenpy.readthedocs.io/en/latest/introductions.html , https://tenpy.readthedocs.io/en/latest/examples.html"
picard,ACES,https://broadinstitute.github.io/picard/,https://broadinstitute.github.io/picard/command-line-overview.html,"https://broadinstitute.github.io/picard/index.html#QuickStart  , https://broadinstitute.github.io/picard/picard-metric-definitions.html "
pigz,ACES,https://zlib.net/pigz/,https://zlib.net/pigz/pigz.pdf,"https://www.geeksforgeeks.org/how-to-compress-files-faster-with-pigz-tool-in-linux/ , https://linuxhandbook.com/pigz/ "
Pillow,"ACES, Rockfish",https://python-pillow.org/,https://pillow.readthedocs.io/en/stable/,"https://pillow.readthedocs.io/en/stable/handbook/tutorial.html , https://pillow.readthedocs.io/en/stable/handbook/concepts.html , https://pillow.readthedocs.io/en/latest/handbook/writing-your-own-image-plugin.html "
Pillow-SIMD,ACES,https://python-pillow.org/pillow-perf/,https://github.com/uploadcare/pillow-simd,"https://github.com/uploadcare/pillow-simd/blob/simd/master/docs/handbook/tutorial.rst , https://github.com/uploadcare/pillow-simd/tree/simd/master/docs/example"
pixman,"ACES, Rockfish",https://www.pixman.org/,https://gitlab.freedesktop.org/pixman/pixman,https://gitlab.freedesktop.org/pixman/pixman/-/tree/master/demos 
pkg-config,KyRIC,https://www.freedesktop.org/wiki/Software/pkg-config/,https://gitlab.freedesktop.org/pkg-config/pkg-config,"https://people.freedesktop.org/~dbn/pkg-config-guide.html , https://autotools.info/pkgconfig/ "
pkgconf,ACES,http://pkgconf.org/,https://github.com/pkgconf/pkgconf,"https://man.archlinux.org/man/pkgconf.1.en , https://pkgconf.readthedocs.io/_/downloads/en/latest/pdf/ "
pkgconf-1.7.3-gcc-9.3.0-djk4uwd,Rockfish,https://github.com/pkgconf/pkgconf,https://github.com/pkgconf/pkgconf,https://autotools.info/pkgconfig/
pkgconfig,ACES,https://github.com/matze/pkgconfig,https://github.com/matze/pkgconfig/blob/master/pkgconfig/pkgconfig.py,https://github.com/matze/pkgconfig/blob/master/test_pkgconfig.py 
plink,"ACES, Delta, Bridges-2, Rockfish",https://www.cog-genomics.org/plink/2.0/,https://zzz.bwh.harvard.edu/plink/,"https://www.cog-genomics.org/plink/2.0/general_usage , https://zzz.bwh.harvard.edu/plink/tutorial.shtml , https://zzz.bwh.harvard.edu/plink/res.shtml#teach "
plotly.py,"KyRIC, ACES, Rockfish, Rockfish",https://plotly.com/,https://plotly.com/python-api-reference/,"https://plotly.com/python/getting-started/ , https://plotly.com/python/plotly-fundamentals/ "
PLUMED,"Stampede-2, ACES, Bridges-2",https://www.plumed.org/,https://www.plumed.org/doc-v2.9/user-doc/html/,"https://www.plumed.org/doc-v2.9/user-doc/html/_syntax.html , https://www.plumed.org/doc-v2.9/user-doc/html/tutorials.html , https://www.plumed.org/doc-v2.9/user-doc/html/misc.html , https://plumed-school.github.io/browse.html , https://www.plumed.org/masterclass "
